Name,Item,Amount,Category,Date
ruth,rice,600.0,food,01/02/2026
ruth,bike,1200.0,transport,02/03/2026
ruth,rice,500.0,food,01/02/2026
ruth,bus,1300.0,transport,02/03/2026
ruth,rice,800.0,food,01/02/2025
ruth,rice,700.0,food,02/03/2025
ruth,bus,800.0,transport,01/02/2025
ruth,rice,700.0,food,02/01/2026
ruth,bus,500.0,transport,02/01/2026
john,beans,600.0,food,01/02/2026
john,rice,1200.0,food,01/02/2026
henry,garri,800.0,food,01/02/2025
henry,bike,7000.0,transport,07/03/2025
henry,rice,900.0,food,02/01/2026
john,rice,600.0,food,01/02/2025
ruth,rice,700.0,food,01/01/2026
ruth,rice,500.0,food,01/02/2026
ruth,rice,500.0,food,01/01/2026
ruth,rice,600.0,food,01/02/2026
Ruth,rice,500.0,food,01/02/2026
ruth,rice,600.0,food,01/02/2026
ruth,ruth,800.0,food,02/01/2025
